longitude,latitude,NBA,district_id
-120.93,39.9,True,000057c1-ba24-47e0-8be5-b86f3107a1a5
-117.08,32.62,True,0003be7b-8f81-43ed-a627-28e6a75a2530
-116.52,32.9,False,00052642-8e20-4513-828e-6b4c5c820e67
-117.08,33.14,True,00058840-12b0-4df5-b6ed-c8b0e6c21038
-118.06,33.81,False,0008d438-d4a6-4a26-9075-f0ea346f0bd3
-117.11,32.58,True,000a89e8-9ba7-4b7e-9dfc-a1bdd1fb63c7
-117.84,33.79,False,000a9e93-a4bc-402a-96fd-67b161bac7b0
-118.23,34.16,False,000e46b0-6757-4d17-b259-d502349e6143
-118.36,34.09,False,001064fb-57d8-4d3e-9742-f41deb68bc71
-118.1,34.16,True,0011dcc7-1c1c-4e86-b7b0-cbd475bb40a6
-122.7,38.35,True,00175e92-6d1d-48ae-a349-03ac42c36722
-118.03,33.97,True,00195d7c-ca19-419f-8433-f522dd3e3697
-120.47,34.98,False,00201d21-5c7a-4b11-8b56-cc795bcc6bf2
-117.14,34.06,True,002037ab-72d6-4c86-b6fb-f8e4f84d6498
-117.99,33.93,False,00244b02-5d0b-4401-82e4-c9ab099a8bc3
-117.27,33.22,True,0029f0dd-7d6a-487f-b49e-8ef468a59452
-118.13,34.02,False,002b18c2-cb17-4f80-814f-ddc8cce9b85b
-121.79,36.68,True,002b9bd3-e96b-46bb-88e0-ab3ff862f155
-120.12,41.4,True,002cb45c-e71b-4788-8689-3c3eacbf33cd
-122.07,37.58,False,0030f6fe-469b-4be7-8457-e53e25d1ca89
-114.61,33.62,True,0032d626-fbf7-471d-a5fc-8289930f4a0b
-118.12,34.06,False,0033c98a-62a7-4813-8efc-e4cc1ad78502
-117.87,34.06,False,0035ef22-4758-4991-94d3-94662a77a7ec
-118.48,35.14,True,0036dcaf-6951-496b-b44a-1f7a45d327a4
-118.29,33.98,True,003d1f63-62cd-48e5-b0c0-c90ad8aed698
-121.25,37.95,True,00425569-5831-4641-bc12-4eb5547f699d
-122.22,37.44,False,0043ab14-9cd3-45c2-89de-756a74c80c67
-117.68,33.52,True,004809a3-4db7-418c-8a96-02b7b3c25de0
-118.46,34.04,True,004a1883-ec71-4164-bc75-3d52a251672d
-119.81,36.77,True,00505166-c030-47c7-b25f-4665cc47755e
-116.47,34.07,True,00514db2-537a-4ae4-891b-0bf5b7adf5cf
-121.83,37.99,False,00541534-9195-42eb-bb04-0f789f92a045
-119.59,36.11,True,0055b01f-9f4a-4186-9830-39b83c5e99e5
-118.44,34.18,False,0056f4c6-58db-4120-a57d-5e1158b7eb1c
-122.47,37.76,True,0057d123-e505-4e1a-97ce-f815305e95f4
-122.33,37.92,False,0059acdd-325a-451d-acc4-b1e1515d094a
-116.67,32.97,False,0059b4dc-3d34-4a6c-96c4-546b4d827679
-120.9,35.69,False,005e1e48-d11c-4ff1-8fbf-b04b173dd381
-118.25,34.11,True,00645b7b-de27-4746-a91f-931fbbb5cd95
-120.84,37.51,False,0068e06b-5d08-4fd3-8112-7b4fd25a4e3f
-118.14,34.17,False,006b932a-fac9-4ec3-8690-28e1e89a57e4
-122.0,37.12,True,007092bd-b7a7-4bf3-a5b5-c9bc22854e4b
-120.86,37.5,True,007646a1-472f-4caf-a762-05c409780ac2
-119.32,36.2,True,007d3c49-d50e-4707-bdee-d6d6b9334570
-118.26,34.07,False,007d4e91-e3ce-4be4-baca-f269ce9384ea
-118.01,33.89,False,007f905b-11d0-4957-87ec-2bcf7fb84cdf
-121.37,38.63,True,0080c0dd-eecd-45aa-b8c2-efbd8bf05ebe
-117.04,32.63,False,0087d3a7-5386-44d0-ae97-d603f9b21e35
-120.47,35.04,True,00885c7e-2396-4fe5-a58f-a5a54845d751
-118.15,34.1,False,008c5a71-f8a4-4156-9ba3-1c7bb09d9e51
-122.41,37.78,True,00926212-46c8-40ad-946d-7e38694b0c81
-121.92,36.63,True,009288ff-bf6c-46dd-b708-2835f0941b77
-121.62,38.96,True,00935f95-e30e-4870-a3ee-cfb5bf26be97
-119.6,36.57,True,0095f6e9-af7a-4c2e-bb2e-0b34f6d03086
-118.01,33.9,False,0096c089-d536-4f0a-8fe7-5839da9b35e0
-121.68,37.0,False,0098cd16-401f-4fb6-9982-b7067765ea4c
-117.92,33.92,True,00a23223-a30f-4272-9ece-d075f16008fb
