,esp,por
0,148.7856692952483,132.31080246677126
1,131.93162988781714,153.2149656380939
2,191.05779116615787,206.04138147399786
3,190.93571402987192,193.30687853751363
4,160.67666570311098,126.2442442398123
5,172.76273580340256,191.2061017902693
6,173.96145079350916,157.8414144369652
7,168.16822138744172,183.93886148086315
8,213.0829690372979,158.89778773846885
9,159.4896771786143,140.2116332009491
10,154.13383613497547,139.1331586457283
11,145.55292800555446,164.55723220948565
12,153.56410315062138,174.28021615839404
13,172.75065001313854,113.47571673359592
14,162.0224421445857,193.65260774863532
15,182.3175836185505,170.66564422851673
16,163.71105722052903,155.71250838549136
17,158.9094210609355,179.92956791585326
18,150.57550193808638,144.62536027499476
19,148.6842185985345,135.6596570891354
20,176.29169168791668,152.31732589118502
21,158.4993044460528,139.86325204880393
22,172.2120376375699,157.17119356519967
23,177.90140995294908,186.449996742745
24,197.82352065506615,180.6623083288513
25,213.0352275788227,178.00301228774777
26,171.23835978723173,146.8367434503392
27,208.4612761600831,169.27847483327312
28,170.08499906592255,137.81796211965047
29,159.59430582737212,163.1679820060992
30,129.86536768295466,148.40586650963843
31,196.83851763809133,126.19084330478596
32,147.40335595629082,167.97126984821705
33,168.13692169002496,144.8674807180828
34,152.21319130973777,148.70049305146787
35,165.76378234035118,216.2432690205915
36,147.51223321414435,180.7009978874635
37,143.50619093353887,152.38300047155641
38,203.03062718219834,105.37766310475715
39,172.50810690588287,143.75175591787826
40,186.77726864620647,150.26774409458747
41,176.43291446423592,157.2154022322415
42,175.5767074070777,129.12470498405784
43,206.35712019144032,166.45867896699627
44,154.73146696940296,136.65729827197302
45,200.61946847659766,150.87091739153107
46,191.26617566409794,133.36381167151546
47,184.6198825409518,123.83568935548357
48,155.7603324160777,206.04726578574184
49,178.636864644745,165.87115605812025
50,178.14106616329175,163.66040657934653
51,138.6571494915064,163.77550616829828
52,191.04905224547738,177.38698087284394
53,184.6878313255072,204.51808037038495
54,168.89031143706308,170.82566701434533
55,159.79643670760453,173.87910166195672
56,170.85278045140134,131.9223500587101
57,173.10520476895047,149.29396768991793
58,176.51174370234904,168.77757268404434
59,176.73700708805703,129.71142572462122
60,178.18152957947143,170.96401755260464
61,153.65804982477385,137.41528976352254
62,197.6010816571344,146.55553119989438
63,175.10145180497653,160.33073611389474
64,188.8624482871031,221.64197507620332
65,182.06111804880393,163.86897546805483
66,184.288301089074,130.8090436205102
67,207.61775299865198,164.5372918964932
68,185.2325155850966,186.65724610234417
69,190.91019489797375,179.280791067962
70,160.30663399653085,200.63190658976814
71,180.49821164719575,181.15561212032665
72,157.60621245363873,126.45701258080265
73,173.19795337683868,182.21477379916786
74,181.10080812224936,178.91989027829752
75,147.2796771334832,175.92105246250824
76,148.2641722134067,202.09886233212208
77,186.07684879107552,152.70137747404178
78,178.31834063562692,161.26063201960187
79,174.65839284607085,134.94910086091843
80,153.04500753325127,162.44111285150586
81,186.4893855944221,206.26799771764786
82,185.11240939924826,175.06068749790924
83,164.8526736172606,146.10087571523292
84,157.6109393575093,178.15992100655967
85,186.1627996062946,167.88466622407287
86,171.96853700335262,228.34739184290905
87,154.69293540439944,238.83711730231795
88,181.73606908901036,133.19475857747176
89,154.94740801694076,142.18549946712457
90,127.47663279961841,141.49754298152664
91,154.64096256970518,180.30164323334415
92,167.12398082767783,144.60752457409242
93,163.84266562035776,90.19172323788476
94,171.06411312208124,160.30753671235777
95,164.68995260144806,138.80225933572936
96,149.8757673364755,132.5087319312857
97,184.55540059989366,144.68853720315343
