,Unnamed: 0,esp,por,swe,fra
0,0,148.7856692952483,132.31080246677126,171.07800345351419,149.35718794186786
1,1,131.93162988781714,153.2149656380939,172.7625191785607,169.8723711964296
2,2,191.05779116615787,206.04138147399783,181.08213196424018,157.5682417691864
3,3,190.93571402987192,193.30687853751363,234.19974457907463,157.81168713787056
4,4,160.67666570311098,126.2442442398123,207.68144480704322,167.98675382137955
5,5,172.76273580340256,191.2061017902693,152.4557819386828,181.4654663715511
6,6,173.96145079350916,157.8414144369652,167.65691249575514,155.5503656411318
7,7,168.16822138744172,183.93886148086315,148.84936834812328,155.91089197742392
8,8,213.0829690372979,158.89778773846885,216.9701629510107,155.5247283284518
9,9,159.4896771786143,140.2116332009491,210.40894873209268,145.37045199769452
10,10,154.13383613497547,139.1331586457283,140.98927342941212,203.23853536143923
11,11,145.55292800555446,164.55723220948565,146.51565725713658,143.20162744339126
12,12,153.56410315062138,174.28021615839404,168.62535150246418,169.94344293143155
13,13,172.75065001313854,113.47571673359592,171.38010665544243,165.72537539196588
14,14,162.0224421445857,193.6526077486353,148.9417739933683,146.81167553924803
15,15,182.3175836185505,170.66564422851673,221.37607127362907,183.3070305275713
16,16,163.71105722052903,155.71250838549136,165.17464568303183,161.39611316299755
17,17,158.9094210609355,179.92956791585326,166.7063339605828,193.97087495367984
18,18,150.57550193808638,144.62536027499476,175.10533856890672,162.47102712669852
19,19,148.6842185985345,135.6596570891354,193.52291078955687,114.78647430183173
20,20,176.29169168791668,152.31732589118502,148.78413777278206,181.7150725653183
21,21,158.4993044460528,139.86325204880393,137.59184442386413,177.2751100125447
22,22,172.2120376375699,157.17119356519967,200.4511780520211,185.13131349663945
23,23,177.90140995294908,186.449996742745,138.36706148039752,188.9688061085145
24,24,197.82352065506612,180.6623083288513,176.32052064505913,179.2429646707198
25,25,213.0352275788227,178.00301228774777,162.9852209212541,176.09668961585467
26,26,171.23835978723173,146.8367434503392,212.64486172574092,164.65492431911522
27,27,208.4612761600831,169.27847483327312,181.23406538909262,173.93077655375848
28,28,170.08499906592257,137.81796211965047,188.96161901000855,185.63482509508933
29,29,159.59430582737212,163.1679820060992,189.49684345647785,177.76013293801623
30,30,129.86536768295466,148.40586650963843,223.78506604608629,188.7954306825035
31,31,196.83851763809133,126.19084330478596,209.23138529896582,137.0065762597511
32,32,147.40335595629082,167.97126984821705,175.29807571260116,162.15277753833456
33,33,168.13692169002496,144.8674807180828,158.41013419794388,122.45621378665908
34,34,152.21319130973777,148.70049305146787,224.40158716625734,207.96435266052268
35,35,165.76378234035118,216.2432690205915,172.40802727561848,203.72424917453768
36,36,147.51223321414437,180.7009978874635,180.3571739416635,192.7442659074313
37,37,143.50619093353887,152.3830004715564,216.76071251217255,123.73679333608918
38,38,203.03062718219837,105.37766310475716,201.72791539028736,192.0447250805229
39,39,172.50810690588287,143.75175591787826,195.98495247119982,117.65541835265974
40,40,186.7772686462065,150.26774409458747,144.07681429286723,170.73224327822228
41,41,176.43291446423592,157.2154022322415,145.71213168714206,120.08095934825383
42,42,175.5767074070777,129.12470498405784,159.3202120083218,163.89067355073811
43,43,206.35712019144032,166.45867896699627,165.69060580817967,164.47115517601975
44,44,154.73146696940296,136.65729827197302,174.19670705264326,189.5649294993605
45,45,200.6194684765977,150.8709173915311,144.35412437679386,182.99939530773656
46,46,191.26617566409797,133.36381167151546,204.78316869063707,177.45328213721592
47,47,184.6198825409518,123.83568935548357,197.44116639984057,155.47321294012488
48,48,155.7603324160777,206.04726578574184,209.165042452391,174.04366443369477
49,49,178.636864644745,165.87115605812025,179.2081927439396,147.66294675285107
50,50,178.14106616329175,163.66040657934653,192.59746419738863,163.47447679154305
51,51,138.6571494915064,163.77550616829828,194.3438929193126,142.46339967091527
52,52,191.04905224547736,177.38698087284394,143.288204940554,148.77597785606932
53,53,184.6878313255072,204.51808037038492,172.64464350342976,180.6419109908107
54,54,168.89031143706308,170.82566701434533,204.88312252243662,138.58224581847344
55,55,159.79643670760453,173.87910166195672,170.5163624501534,157.35734966647848
56,56,170.85278045140134,131.9223500587101,187.24808063084063,187.49499958315974
57,57,173.10520476895047,149.2939676899179,194.41875911552893,177.1414850974591
58,58,176.51174370234904,168.77757268404434,148.20146222818195,147.2394243568146
59,59,176.73700708805703,129.71142572462122,173.39691332133162,185.71860750849558
60,60,178.18152957947143,170.96401755260464,158.73596119152353,183.44230483282465
61,61,153.65804982477383,137.41528976352254,211.78999310155504,218.29377134023673
62,62,197.6010816571344,146.55553119989438,163.37598980136252,200.8253191106766
63,63,175.1014518049765,160.33073611389474,188.87190534899094,174.6548582318614
64,64,188.8624482871031,221.64197507620327,161.64324003574646,202.27167536517308
65,65,182.06111804880396,163.86897546805483,153.33626256319945,137.88809879731926
66,66,184.288301089074,130.8090436205102,124.96614489797297,184.13036712597255
67,67,207.617752998652,164.5372918964932,199.79482448894288,107.19953076803708
68,68,185.2325155850966,186.65724610234415,207.0347390707872,181.9842863014237
69,69,190.91019489797372,179.280791067962,172.61579517587634,190.61055881331643
70,70,160.30663399653085,200.6319065897681,211.76942229904353,195.54538181266696
71,71,180.49821164719572,181.15561212032665,156.25537977064587,150.7394894112918
72,72,157.60621245363873,126.45701258080264,178.60589290466112,143.8662087994196
73,73,173.19795337683868,182.21477379916783,154.72925634181513,171.6634453869295
74,74,181.10080812224936,178.91989027829752,198.1119570586378,166.20821610623184
75,75,147.2796771334832,175.92105246250824,211.0003092531526,164.7497767551216
76,76,148.2641722134067,202.09886233212208,208.90224594941287,162.78616901183642
77,77,186.07684879107552,152.70137747404178,203.63399878304494,182.89928902445746
