,Date,Open,High,Low,Close,Adj Close,Volume,Nombre
0,2016-03-28,584.4000244140625,584.75,575.5599975585938,579.8699951171875,579.8699951171875,3121500,Amazon
1,2016-03-29,580.1500244140625,595.8499755859375,576.5,593.8599853515625,593.8599853515625,4392600,Amazon
2,2016-03-30,596.7100219726562,603.239990234375,595.0,598.6900024414062,598.6900024414062,3890500,Amazon
3,2016-03-31,599.280029296875,600.75,592.2100219726562,593.6400146484375,593.6400146484375,2681800,Amazon
4,2016-04-01,590.489990234375,599.030029296875,588.2999877929688,598.5,598.5,2917400,Amazon
5,2016-04-04,599.0,599.5,590.5499877929688,593.1900024414062,593.1900024414062,2470800,Amazon
6,2016-04-05,590.77001953125,593.469970703125,585.25,586.1400146484375,586.1400146484375,2308900,Amazon
7,2016-04-06,587.52001953125,602.3900146484375,587.5,602.0800170898438,602.0800170898438,2849900,Amazon
8,2016-04-07,598.760009765625,599.5999755859375,589.0800170898438,591.4299926757812,591.4299926757812,3189000,Amazon
9,2016-04-08,594.3200073242188,597.8599853515625,589.0,594.5999755859375,594.5999755859375,2591900,Amazon
10,2016-04-11,596.1400146484375,604.0,594.9099731445312,595.9299926757812,595.9299926757812,2704300,Amazon
11,2016-04-12,598.4000244140625,604.0599975585938,592.3099975585938,603.1699829101562,603.1699829101562,2641100,Amazon
12,2016-04-13,607.6799926757812,616.8099975585938,605.2899780273438,614.8200073242188,614.8200073242188,4228300,Amazon
13,2016-04-14,615.0700073242188,624.3800048828125,615.0700073242188,620.75,620.75,3512100,Amazon
14,2016-04-15,621.9199829101562,626.77001953125,618.1099853515625,625.8900146484375,625.8900146484375,2887700,Amazon
15,2016-04-18,625.3499755859375,637.6400146484375,624.9600219726562,635.3499755859375,635.3499755859375,4360900,Amazon
16,2016-04-19,637.1400146484375,638.010009765625,620.7999877929688,627.9000244140625,627.9000244140625,4055900,Amazon
17,2016-04-20,630.0,636.5499877929688,623.0,632.989990234375,632.989990234375,2609400,Amazon
18,2016-04-21,631.0,637.8200073242188,628.5,631.0,631.0,2596300,Amazon
19,2016-04-22,624.469970703125,628.25,611.5599975585938,620.5,620.5,5083900,Amazon
